smiles,total,qed,sa,docking_score,history_data
[H]OC(=O)c1sc2c(c1[H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C2([H])[H],-8.800000,0.879427,2.586766,-8.800000,GEN1-ROOT|GPT-1-6cbede|CROSSOVER-684843_ef89e2
[H]c1nn([H])c(-c2c([H])c([H])c3c(c2[H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C3([H])[H])c1[H],-10.700000,0.844541,2.858316,-10.700000,GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_2400eb
[H]c1c([H])c([H])c(N([H])C([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],-8.500000,0.801684,1.375515,-8.500000,GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_a9517e|CROSSOVER-a635c9_f48d51
[H]c1nc(-c2c([H])c([H])c([H])c(C([H])(C(F)=C(F)F)N([H])[H])c2[H])c([H])c([H])c1F,-9.800000,0.865176,3.190930,-9.800000,GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_b6e0ec|CROSSOVER-b5d838_055411
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])(C(F)=C(F)F)c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],-10.500000,0.792298,3.169439,-10.500000,GEN1-ROOT|GPT-1-6e44a3|CROSSOVER-5bbef4_70436c|CROSSOVER-8b707a_b6e0ec|CROSSOVER-b5d838_055411|CROSSOVER-fac6b8_75e9a3
[H]c1c([H])c(Br)c(OC([H])([H])C([H])([H])[H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H],-6.600000,0.887271,1.998206,-6.600000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00
[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])nc1Br,-8.000000,0.912421,2.255418,-8.000000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_1e2849|CROSSOVER-842728_2ace99
[H]c1c([H])c([H])c(Br)c([H])c1[H],-5.500000,0.542045,1.120533,-5.500000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_a71501
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])(c3c([H])c([H])c([H])c([H])c3N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],-10.200000,0.770232,2.805151,-10.200000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],-10.600000,0.912734,2.524293,-10.600000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec|CROSSOVER-811b7d_62057c
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C(=O)c3c([H])c([H])c(C(=O)OC([H])([H])c4c([H])c([H])c(Br)c([H])c4F)c([H])c3F)C([H])([H])C([H])([H])C2=O)c([H])c1[H],-10.700000,0.325073,2.666576,-10.700000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec|CROSSOVER-811b7d_62057c|CROSSOVER-75e9a3_3dac7c
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])(c3c([H])c([H])c([H])c(F)c3[H])C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],-9.900000,0.897335,2.646138,-9.900000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_b6e0ec|CROSSOVER-811b7d_62057c|CROSSOVER-75e9a3_73aa74
[H]c1c([H])c(Br)c([H])c(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H],-6.900000,0.834969,1.699906,-6.900000,GEN1-ROOT|GPT-1-7f0d38|CROSSOVER-e520ba_04c93c|CROSSOVER-f9c159_6a2f00|CROSSOVER-3e0e6a_c7241a
[H]c1c([H])c([H])c(C([H])N([H])[H])c([H])c1[H],-5.600000,0.571943,1.223427,-5.600000,GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84
[H]c1nc(N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])nc1Br,-7.800000,0.925779,2.021416,-7.800000,GEN1-ROOT|GPT-1-ac1b6e|CROSSOVER-142809_b8775f|CROSSOVER-cd8bdf_b0f072|CROSSOVER-51eed7_ee3e6f|CROSSOVER-c1def8_c48f84|CROSSOVER-f6b156_03cb38
[H]c1nc(-c2c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c([H])c2Br)c([H])c([H])c1F,-8.300000,0.944406,2.208929,-8.300000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_3003c5
[H]c1c([H])c([H])c(C([H])([H])N2N=C(C(=O)N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3F)C([H])([H])C([H])([H])C2=O)c([H])c1[H],-10.100000,0.910144,2.142311,-10.100000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_6a2f00
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2F)c([H])c1[H],-9.200000,0.819025,1.246350,-9.200000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_6a2f00|CROSSOVER-e47d2d_1b928e_CROSSOVER-fd7de8_4a1b0a
[H]c1c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(C(=O)OC([H])([H])c3c([H])c([H])c(Br)c([H])c3[H])c([H])c2F)c([H])c1[H],-10.800000,0.568969,1.763869,-10.800000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_73aa74|CROSSOVER-3dac7c_2f8bd1
[H]c1nc(-c2c([H])c(C([H])([H])OC(=O)c3c([H])c([H])c(C(=O)N([H])c4c([H])c([H])c([H])c([H])c4[H])c(F)c3[H])c([H])c([H])c2F)c([H])c([H])c1F,-10.500000,0.369302,2.200897,-10.500000,GEN1-ROOT|GPT-1-d06459|CROSSOVER-d09929_24fc61|CROSSOVER-2c1ae8_5038e7|CROSSOVER-04ba04_73aa74|CROSSOVER-3dac7c_36c40e
