history_data,total,qed,sa,docking_score,smiles
GEN1-ROOT|GPT-1-1b6381|CROSSOVER-08f0d6_2c0d45,-8.500000,0.895697,2.352510,-8.500000,[H]OC(=O)C([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-1b6381|CROSSOVER-08f0d6_2c0d45|CROSSOVER-ee40fd_36c40e,-9.600000,0.775219,2.851103,-9.600000,[H]OC(=O)C([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])N(C(=O)OC([H])([H])c2c([H])c([H])c(F)c(-c3nc([H])c(F)c([H])c3[H])c2[H])C([H])([H])C1([H])[H]
GEN1-ROOT|GPT-1-2dac26|CROSSOVER-f0496b_cf16f7,-7.300000,0.725953,3.181993,-7.300000,[H]c1sc(N([H])C([H])([H])c2nn([H])c([H])c2[H])c(C(=O)N([H])[H])c1[H]
GEN1-ROOT|GPT-1-318ac5|CROSSOVER-a07d3c_5bbef4,-6.000000,0.594765,1.709307,-6.000000,[H]SC([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_3794e5,-6.800000,0.718423,2.077046,-6.800000,[H]c1c([H])c(Br)c([H])c(C([H])([H])C([H])(F)F)c1[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_3c741e,-7.300000,0.796663,2.955257,-7.300000,[H]SC([H])([H])C([H])([H])c1c([H])c([H])c([H])c(Br)c1OC([H])([H])C1([H])Oc2c([H])c([H])c([H])c([H])c2C1([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_8a73d7,-8.100000,0.901522,2.741713,-8.100000,[H]c1c([H])c([H])c2c(c1[H])OC([H])(C([H])([H])Oc1c(Br)c([H])c([H])c([H])c1C([H])([H])C([H])([H])N([H])[H])C2([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_8a73d7|CROSSOVER-f2f4fc_6c6732,-9.500000,0.757106,3.255379,-9.500000,[H]c1c([H])c([H])c2c(c1[H])OC([H])(C([H])([H])Oc1c([H])c(F)c([H])c(Cl)c1C([H])([H])N([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H])C2([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_8a73d7|CROSSOVER-f2f4fc_6c6732|CROSSOVER-7a29ae_97d34d,-8.700000,0.617701,2.913154,-8.700000,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(Br)c([H])c2F)c(C([H])([H])N([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C2([H])[H])c1Cl
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_8a73d7|CROSSOVER-f2f4fc_b6e0ec,-6.800000,0.645028,3.381722,-6.800000,[H]c1nc(-c2c([H])c([H])c([H])c(C([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])[H])c2OC([H])([H])C2([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])c([H])c([H])c1F
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d,-8.300000,0.744965,1.740874,-8.300000,[H]C(=O)c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_8dc9f8,-10.100000,0.361931,2.346618,-10.100000,[H]C(=O)c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c(C(=O)C([H])([H])c3c([H])nc([H])c(OC([H])([H])C([H])([H])C([H])([H])[H])c3[H])c([H])c2[H])c([H])c1[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_8dc9f8|CROSSOVER-cd0a18_3c741e,-8.400000,0.505289,2.248679,-8.400000,[H]SC([H])([H])C(=O)c1c([H])c([H])c(C([H])([H])N(c2c([H])c([H])c(C([H])=O)c([H])c2[H])C([H])([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_8dc9f8|CROSSOVER-cd0a18_92828c,-10.300000,0.420357,2.232574,-10.300000,[H]c1nc([H])c(C([H])([H])C(=O)c2c([H])c([H])c(C([H])([H])N(c3c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c3[H])C([H])([H])[H])c([H])c2[H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_8dc9f8|CROSSOVER-cd0a18_92828c|CROSSOVER-46d6b9_20ee00,-10.400000,0.398555,2.368022,-10.400000,[H]c1nc([H])c(C([H])([H])C(=O)c2c([H])c([H])c(C([H])([H])N(c3c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c3F)C([H])([H])[H])c([H])c2[H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_8dc9f8|CROSSOVER-cd0a18_92828c|CROSSOVER-46d6b9_542de3,-9.700000,0.467462,2.327928,-9.700000,[H]c1nc([H])c(C([H])([H])C(=O)c2c([H])c([H])c(C([H])([H])N(c3c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c3[H])C([H])([H])[H])c([H])c2[H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])[H]
GEN1-ROOT|GPT-1-3340f2|CROSSOVER-6da3ab_e91e0d|CROSSOVER-18c94b_ee3e6f,-8.000000,0.507291,3.269554,-8.000000,[H]C(=O)c1c([H])c([H])c(NC([H])(c2oc3c(Cl)c([H])c([H])c([H])c3c2[H])C([H])([H])C2(OC([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-386367|CROSSOVER-96f97a_2c0d45_CROSSOVER-96f97a_89c323,-8.000000,0.743275,2.789969,-8.000000,[H]c1c(C([H])(N([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c2c([H])c([H])n([H])c2c1[H]
GEN1-ROOT|GPT-1-386367|CROSSOVER-96f97a_2c0d45_CROSSOVER-96f97a_89c323|CROSSOVER-c6962f_03b6b8,-6.900000,0.367966,3.155139,-6.900000,[H]c1nc(F)c(C([H])([H])[H])c([H])c1N([H])C([H])(c1c([H])c([H])c2c(c([H])c([H])n2[H])c1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
GEN1-ROOT|GPT-1-4084f9|CROSSOVER-a1274b_da8ab9,-8.000000,0.616338,1.933584,-8.000000,[H]C#CC([H])([H])C([H])([H])c1c([H])c([H])c(C([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
GEN1-ROOT|GPT-1-44dbec|CROSSOVER-60fea3_160343,-7.400000,0.633383,3.286553,-7.400000,[H]C([H])=C([H])C([H])([H])OC(=O)c1c([H])sc(=Nc2c([H])c([H])c([H])c(C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H])c2F)n1[H]
GEN1-ROOT|GPT-1-44dbec|CROSSOVER-60fea3_160343|CROSSOVER-3c3491_ece335,-7.700000,0.439704,4.146262,-7.700000,[H]OC([H])(C([H])([H])[H])C([H])(C(=O)OC([H])([H])C([H])([H])c1c([H])c([H])c([H])c(N=c2sc([H])c(C(=O)OC([H])([H])C([H])=C([H])[H])n2[H])c1F)C([H])([H])C([H])([H])[H]
